userid,timestamp,Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction,podcast_rating
24,2023-07-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",1,Rarely,Comedy,Interview,Both,Shorter,Very Satisfied,1
25,2023-07-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Rock,Night,"Relaxation and stress relief, Sadness or melancholy",Study Hours,"recommendations, Radio",3,Rarely,Lifestyle and Health,Conversational,Both,Both,Ok,3
27,2023-07-01,12-20,Male,6 months to 1 year,"Smartphone, Smart speakers or voice assistants",Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,Rap,Morning,Relaxation and stress relief,"Office hours, While Traveling, Workout session",recommendations,4,Several times a week,Lifestyle and Health,Story telling,Both,Longer,Satisfied,4
50,2023-07-01,20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,4,Rarely,Comedy,Story telling,unknown Podcasters,Shorter,Very Satisfied,4
60,2023-07-01,20-35,Male,More than 2 years,"Computer or laptop, Wearable devices",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Never,None,None,None,None,Satisfied,2
67,2023-07-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Several times a week,Comedy,Conversational,Both,Both,Very Satisfied,1
68,2023-07-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational",Office hours,"recommendations, Playlists",4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,4
75,2023-07-01,12-20,Female,6 months to 1 year,Computer or laptop,Premium (paid subscription),No,None,Podcast,Melody,Afternoon,Uplifting and motivational,While Traveling,Radio,2,Daily,Health and Fitness,Interview,Well known individuals,Longer,Ok,3
76,2023-07-01,20-35,Others,1 year to 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,Rap,Afternoon,"Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",Others,4,Once a week,Food and cooking,Story telling,Both,Longer,Satisfied,3
92,2023-07-01,20-35,Female,Less than 6 months,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,classical,Night,Relaxation and stress relief,Office hours,Playlists,3,Never,Lifestyle and Health,None,Both,Longer,Satisfied,5
